replicate,treatment,day,time,scan,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open,Total
prelim,low,2,1530,6,male,0,1,0,3,0,0,2,3,0,1,1,0,1,12
prelim,low,2,1530,6,female,1,2,0,0,0,2,1,0,0,0,5,1,0,12
prelim,low,2,1530,6,both,1,3,0,3,0,2,3,3,0,1,6,1,1,24
prelim,low,2,1630,7,male,0,1,0,3,0,0,2,2,0,1,0,0,3,12
prelim,low,2,1630,7,female,1,2,0,0,0,2,1,0,0,0,2,2,2,12
prelim,low,2,1630,7,both,1,3,0,3,0,2,3,2,0,1,2,2,5,24
prelim,low,2,1730,8,male,0,1,3,0,0,2,2,0,0,2,1,0,1,12
prelim,low,2,1730,8,female,1,2,0,0,1,2,1,0,0,0,1,1,2,11
prelim,low,2,1730,8,both,1,3,3,0,1,4,3,0,0,2,2,1,3,23
prelim,low,2,1800,9,male,0,1,0,3,0,0,2,2,0,3,0,1,0,12
prelim,low,2,1800,9,female,1,2,0,0,1,1,2,1,0,0,1,1,2,12
prelim,low,2,1800,9,both,1,3,0,3,1,1,4,3,0,3,1,2,2,24
prelim,low,3,1000,1,male,0,1,0,3,0,0,2,2,0,4,0,0,0,12
prelim,low,3,1000,1,female,1,1,0,1,0,1,1,2,0,0,1,4,0,12
prelim,low,3,1000,1,both,1,2,0,4,0,1,3,4,0,4,1,4,0,24
prelim,low,3,1115,2,male,0,1,0,3,0,0,2,2,0,4,0,0,0,12
prelim,low,3,1115,2,female,1,1,0,1,0,0,1,2,0,0,1,4,1,12
prelim,low,3,1115,2,both,1,2,0,4,0,0,3,4,0,4,1,4,1,24
prelim,low,3,1230,3,male,0,1,0,3,0,0,2,2,0,4,0,0,0,12
prelim,low,3,1230,3,female,1,1,0,1,0,1,1,2,0,0,1,4,0,12
prelim,low,3,1230,3,both,1,2,0,4,0,1,3,4,0,4,1,4,0,24
prelim,low,3,1330,4,male,0,1,0,3,0,0,2,2,0,4,0,0,0,12
prelim,low,3,1330,4,female,1,1,0,0,0,2,1,2,0,0,1,4,0,12
prelim,low,3,1330,4,both,1,2,0,3,0,2,3,4,0,4,1,4,0,24
prelim,low,3,1430,5,male,0,1,0,3,0,0,2,1,0,4,0,0,1,12
prelim,low,3,1430,5,female,1,1,0,0,0,2,1,2,0,0,1,4,0,12
prelim,low,3,1430,5,both,1,2,0,3,0,2,3,3,0,4,1,4,1,24
prelim,low,3,1530,6,male,1,1,0,1,0,0,3,1,2,0,2,1,0,12
prelim,low,3,1530,6,female,0,1,0,0,0,0,2,1,0,1,0,2,5,12
prelim,low,3,1530,6,both,1,2,0,1,0,0,5,2,2,1,2,3,5,24
prelim,low,3,1630,7,male,1,1,0,1,0,0,2,1,2,0,2,1,1,12
prelim,low,3,1630,7,female,0,1,0,1,0,1,1,0,0,0,0,3,5,12
prelim,low,3,1630,7,both,1,2,0,2,0,1,3,1,2,0,2,4,6,24
prelim,low,3,1730,8,male,1,1,0,1,0,0,1,2,1,0,2,1,2,12
prelim,low,3,1730,8,female,0,1,0,0,1,0,1,1,0,1,0,3,4,12
prelim,low,3,1730,8,both,1,2,0,1,1,0,2,3,1,1,2,4,6,24
prelim,low,3,1800,9,male,0,0,0,1,0,0,3,0,2,0,3,2,1,12
