Group.Num,Block,Treatment,Day,Time,Location,Members,Notes
252,1,Low,1,1600,10,K J V X,
253,1,Low,1,1700,10,I C,
254,1,Low,1,1700,12,R T,
255,1,Low,2,900,7,J O,
256,1,Low,2,900,8,A K,
257,1,Low,2,900,10,V M ,
258,1,Low,2,900,10,P I C,
259,1,Low,2,900,12,B F W T,
260,1,Low,2,1000,7,J O,
261,1,Low,2,1000,8,A K,
262,1,Low,2,1000,10,M V,
263,1,Low,2,1000,10,I P C,
264,1,Low,2,1000,12,B F W T,
265,1,Low,2,1100,7,J O,
266,1,Low,2,1100,8,A K,
267,1,Low,2,1100,10,M V,
268,1,Low,2,1100,10,I P C,
269,1,Low,2,1100,12,W T,
270,1,Low,2,1200,8,A K,
271,1,Low,2,1200,10,I P,
272,1,Low,2,1200,12,W T,
273,1,Low,2,1300,1,D U,
274,1,Low,2,1300,2,O J,
275,1,Low,2,1300,10,C I P V,
276,1,Low,2,1300,12,W T,
277,1,Low,2,1400,8,A B ,
278,1,Low,2,1400,10,I P V,
279,1,Low,2,1400,12,T K ,
280,1,Low,2,1500,8,A B ,
281,1,Low,2,1500,10,C I P V,
282,1,Low,2,1600,1,D U,
283,1,Low,2,1600,8,A B ,
284,1,Low,2,1600,10,C E I K P V,
285,1,Low,2,1700,1,D U,
286,1,Low,2,1700,8,A B ,
287,1,Low,2,1700,10,C E K P V,
288,1,Low,3,900,1,D U,
289,1,Low,3,900,4,X S,
290,1,Low,3,900,7,M J,
291,1,Low,3,900,8,A B ,
292,1,Low,3,900,10,C P V K E,
293,1,Low,3,1000,1,D U ,
294,1,Low,3,1000,7,M J,
295,1,Low,3,1000,8,A B ,
296,1,Low,3,1000,10,C K P V,
297,1,Low,3,1000,12,N W,
298,1,Low,3,1100,1,D U,
299,1,Low,3,1100,8,A B ,
300,1,Low,3,1100,10,C K P V,
301,1,Low,3,1100,10,E I,
302,1,Low,3,1100,12,N W,
303,1,Low,3,1200,8,A L,
304,1,Low,3,1200,10,P V,
305,1,Low,3,1300,8,A L ,
306,1,Low,3,1300,10,C P V,
307,1,Low,3,1300,12,N W T,
308,1,Low,3,1500,7,R S,
309,1,Low,3,1500,8,A E G,
310,1,Low,3,1500,10,T V,
311,1,Low,3,1600,2,K F,
312,1,Low,3,1600,8,A H,
313,1,Low,3,1600,10,R T V W X,
314,1,Low,3,1600,11,D G,
315,1,Low,3,1700,8,A H,
316,1,Low,3,1700,10,D M R W,
317,1,Low,3,1700,10,G T V X,
318,1,Low,4,900,2,C E,
319,1,Low,4,900,10,B D G I P T W X V,
320,1,Low,4,900,11,N U,
321,1,Low,4,900,12,K S,
322,1,Low,4,1000,2,C E,
323,1,Low,4,1000,10,P W,
324,1,Low,4,1000,10,B G R T V X,
325,1,Low,4,1000,11,N U,
326,1,Low,4,1000,12,K S,
327,1,Low,4,1100,2,C E M,
328,1,Low,4,1100,10,W R,
329,1,Low,4,1100,10,P T X,
330,1,Low,4,1100,10,B G I V,
331,1,Low,4,1100,11,D N U,
332,1,Low,4,1100,12,K S,
333,1,Low,4,1200,2,C E M ,
