Day,Time,Location,Focal Individual,Behaviour,Social Partners(s),Partner's response,Notes
2,12:32 PM,10,9.,Move within 10,6.,Ran away,
2,12:32 PM,10,6.,Exit 10,N/A,,
2,12:32 PM,12,0:,Move within 12,N/A,No longer with 7.,
2,12:34 PM,Open,1.,Bump,6.,1. Turn around and ran away,
2,12:34 PM,10,9.,Move within 10,3. and .8,,
2,12:35 PM,11,1.,Enter 11,N/A,,
2,12:37 PM,12,7.,Move within 12,0:,,
2,12:41 PM,8,6.,Enter 8,,,
2,12:41 PM,8,:0,Mount,6.,Ran away,
2,12:42 PM,8,6.,Exit 8,N/A,,
2,12:46 PM,8,0.,Enter 8,":0, .0",Aggregation was split up,
2,12:47 PM,8,.0,Mating,0.,N/A,
2,12:48 PM,4,6.,Enter 4,N/A,,
2,1:03 PM,7,.9,Mating,2.,N/A,
2,1:09 PM,12,0:,Move within 12,N/A,No longer with 7.,
2,1:09 PM,7,2.,Move within 7,N/A,No longer with .9,
2,1:10 PM,8,.1,Mount,.0,Ran away,
2,1:11 PM,Open,:0,Moved away,N/A,Moved away from 4.,
2,1:12 PM,Outside 7,:0,Mount,.4,Exit 7,
2,1:12 PM,7,.4,Exit 7,N/A,,
2,1:13 PM,8,.1,Mount,.0,.1 stopped shortly,
2,1:15 PM,8,:0,Enter 8,N/A,,
2,1:16 PM,2,0.,Move within 2,.5,N/A,
2,1:22 PM,8,.1,Mount ,:0,Run away,
2,1:24 PM,8,.1,Move within 8,.0,N/A,
2,1:26 PM,8,.1,Move within 8,:0,No longer with .0,
2,1:27 PM,Open,1.,Bump,5.,Ran away,
2,1:31 PM,9,.7,Exit 9,N/A,,
2,1:31 PM,8,:0,Move within 8,N/A,,
2,1:35 PM,12,0:,Exit 12,N/A,,
2,1:36 PM,8,.1,Mount,:0,Ran away,
2,1:36 PM,8,:0,Exit 8,N/A,,
2,1:37 PM,12,0:,Enter 12,N/A,,
2,1:37 PM,1,.3,Move within 1,N/A,No longer with 8.,
2,1:38 PM,Open,:0,Mount,1.,N/A,
2,1:39 PM,8,.1,Move within 8,.0,N/A,
2,1:39 PM,10,.2,Move within 10,N/A,"No longer with .8, 3., and 9.",
2,1:40 PM,Open,.4,Mount,1.,Ran away,
2,1:42 PM,Open,.4,Bump,1.,Ran away,
2,1:42 PM,8,.1,Mount,.0,Ran away,
2,1:43 PM,9,.7,Enter 9,1:,N/A,
2,1:44 PM,8,.1,Mount,.0,.1 stopped shortly,
2,1:45 PM,8,.1,Mount,.0,.1 stopped shortly,
2,1:45 PM,9,.7,Mating,1:,N/A,
2,1:46 PM,9,.7,Move within 9,N/A,No longer with 1:,
2,1:47 PM,8,.0,Exit 8,N/A,,
2,1:47 PM,8,.0,Enter 8,N/A,,
2,1:47 PM,8,.0,Mount,.1,N/A,
2,1:49 PM,12,5.,Enter 12,:1,N/A,
2,1:49 PM,12,:1,Mount,5.,Ran away and exited 12,
2,2:09 PM,11,.4,Exit 11,N/A,,
2,2:13 PM,Open,.4,Mount,5.,Nothing,.4 looked like it was going to mate and then just stopped and left
2,2:14 PM,12,:0,Move within 12,N/A,No longer with 7.,
2,2:16 PM,7,.4,Enter 7,N/A,,
2,2:16 PM,7,.4,Mount,2.,Ran away and exited 7,
2,2:17 PM,7,2.,Exit 7,N/A,,
2,2:21 PM,7,.4,Move within 7,.9,,
2,2:26 PM,12,:0,Mount ,7.,Ran away,
2,2:28 PM,6,2.,Enter 6,,,
2,2:30 PM,1,.3,Move within 1,8.,N/A,
2,2:41 PM,12,2.,Enter 12,N/A,,
2,3:16 PM,1,.3,Exit 1,N/A,,
2,3:19 PM,1,.3,Enter 1,8.,,
2,3:19 PM,1,.3,Mating,8.,N/A,
